display_name,display_name_tr
Speech,Konuşma
"Male speech, man speaking",Erkek konuşması
"Female speech, woman speaking",Kadın konuşması
"Child speech, kid speaking",Çocuk konuşması
Conversation,Sohbet
"Narration, monologue","Anlatım, monolog"
Babbling,Agulama
Speech synthesizer,Konuşma sentezleyici
Shout,Bağırma
Bellow,Böğürme
Whoop,Haykırış
Yell,Haykırma
Battle cry,Savaş narası
Children shouting,Çocuk bağırışları
Screaming,Çığlık
Whispering,Fısıltı
Laughter,Kahkaha
Baby laughter,Bebek kahkahası
Giggle,Kıkırdama
Snicker,Sinsi gülüş
Belly laugh,Katıla katıla gülme
"Chuckle, chortle",Gülüşme
"Crying, sobbing","Ağlama, hıçkırma"
"Baby cry, infant cry",Bebek ağlaması
Whimper,Sızlanma
"Wail, moan","Feryat, inilti"
Sigh,İç çekme
Singing,Şarkı söyleme
Choir,Koro
Yodeling,Yodel
Chant,İlahi
Mantra,Mantra
Male singing,Erkek şarkı sesi
Female singing,Kadın şarkı sesi
Child singing,Çocuk şarkı sesi
Synthetic singing,Sentetik şarkı sesi
Rapping,Rap
Humming,Mırıldanma
Groan,İnleme
Grunt,Homurtu
Whistling,Islık
Breathing,Nefes alma
Wheeze,Hırıltılı nefes
Snoring,Horlama
Gasp,Nefes tutma
Pant,Soluma
Snort,Burun çekme
Cough,Öksürük
Throat clearing,Boğaz temizleme
Sneeze,Hapşırık
Sniff,Burun çekişi
Run,Koşma
Shuffle,Ayak sürüme
"Walk, footsteps","Yürüme, ayak sesleri"
"Chewing, mastication",Çiğneme
Biting,Isırma
Gargling,Gargara
Stomach rumble,Karın guruldaması
"Burping, eructation",Geğirme
Hiccup,Hıçkırık
Fart,Yellenme
Hands,El sesleri
Finger snapping,Parmak şıklatma
Clapping,El çırpma
"Heart sounds, heartbeat",Kalp atışı
Heart murmur,Kalp üfürümü
Cheering,Tezahürat
Applause,Alkış
Chatter,Gevezelik
Crowd,Kalabalık
"Hubbub, speech noise, speech babble","Uğultu, konuşma gürültüsü"
Children playing,Oyun oynayan çocuklar
Animal,Hayvan
"Domestic animals, pets",Evcil hayvanlar
Dog,Köpek
Bark,Havlama
Yip,Ciyaklama
Howl,Uluma
Bow-wow,Hav hav
Growling,Hırlama
Whimper (dog),Sızlanma (köpek)
Cat,Kedi
Purr,Mırlama
Meow,Miyavlama
Hiss,Tıslama
Caterwaul,Kedi feryadı
"Livestock, farm animals, working animals",Çiftlik hayvanları
Horse,At
Clip-clop,Nal sesi
"Neigh, whinny",Kişneme
"Cattle, bovinae",Sığır
Moo,Möleme
Cowbell,İnek çanı
Pig,Domuz
Oink,Domuz homurtusu
Goat,Keçi
Bleat,Meleme
Sheep,Koyun
Fowl,Kümes hayvanı
"Chicken, rooster","Tavuk, horoz"
Cluck,Gıdaklama
"Crowing, cock-a-doodle-doo",Horoz ötüşü
Turkey,Hindi
Gobble,Hindi sesi
Duck,Ördek
Quack,Vaklama
Goose,Kaz
Honk,Kaz sesi
Wild animals,Yabani hayvanlar
"Roaring cats (lions, tigers)","Büyük kediler (aslan, kaplan)"
Roar,Kükreme
Bird,Kuş
"Bird vocalization, bird call, bird song",Kuş ötüşü
"Chirp, tweet",Cıvıltı
Squawk,Kuş çığlığı
"Pigeon, dove",Güvercin
Coo,Dem çekme
Crow,Karga
Caw,Karga sesi
Owl,Baykuş
Hoot,Baykuş ötüşü
"Bird flight, flapping wings",Kanat çırpma
"Canidae, dogs, wolves","Köpekgiller, kurtlar"
"Rodents, rats, mice",Kemirgenler
Mouse,Fare
Patter,Pıtırtı
Insect,Böcek
Cricket,Cırcır böceği
Mosquito,Sivrisinek
"Fly, housefly",Karasinek
Buzz,Vızıltı
"Bee, wasp, etc.","Arı, yaban arısı"
Frog,Kurbağa
Croak,Vraklama
Snake,Yılan
Rattle,Çıngırak
Whale vocalization,Balina sesi
Music,Müzik
Musical instrument,Müzik aleti
Plucked string instrument,Mızraplı telli çalgı
Guitar,Gitar
Electric guitar,Elektro gitar
Bass guitar,Bas gitar
Acoustic guitar,Akustik gitar
"Steel guitar, slide guitar",Slide gitar
Tapping (guitar technique),Tapping (gitar tekniği)
Strum,Tel tırmalama
Banjo,Banço
Sitar,Sitar
Mandolin,Mandolin
Zither,Kanun
Ukulele,Ukulele
Keyboard (musical),Klavye (müzik)
Piano,Piyano
Electric piano,Elektrikli piyano
Organ,Org
Electronic organ,Elektronik org
Hammond organ,Hammond org
Synthesizer,Sentezleyici
Sampler,Örnekleyici
Harpsichord,Klavsen
Percussion,Vurmalı çalgı
Drum kit,Davul seti
Drum machine,Ritim makinesi
Drum,Davul
Snare drum,Trampet
Rimshot,Rimshot
Drum roll,Trampet yuvarlaması
Bass drum,Bas davul
Timpani,Timpani
Tabla,Tabla
Cymbal,Zil
Hi-hat,Hi-hat
Wood block,Ağaç blok
Tambourine,Tef
Rattle (instrument),Çıngırak (çalgı)
Maraca,Marakas
Gong,Gong
Tubular bells,Boru çanlar
Mallet percussion,Tokmaklı vurmalı çalgı
"Marimba, xylophone","Marimba, ksilofon"
Glockenspiel,Çan çalgısı
Vibraphone,Vibrafon
Steelpan,Steelpan
Orchestra,Orkestra
Brass instrument,Bakır üflemeli çalgı
French horn,Korno
Trumpet,Trompet
Trombone,Trombon
Bowed string instrument,Yaylı çalgı
String section,Yaylılar grubu
"Violin, fiddle",Keman
Pizzicato,Pizzicato
Cello,Çello
Double bass,Kontrbas
"Wind instrument, woodwind instrument",Üflemeli çalgı
Flute,Flüt
Saxophone,Saksofon
Clarinet,Klarnet
Harp,Arp
Bell,Çan
Church bell,Kilise çanı
Jingle bell,Çıngıraklı zil
Bicycle bell,Bisiklet zili
Tuning fork,Diyapazon
Chime,Çan sesi
Wind chime,Rüzgar çanı
Change ringing (campanology),Çan dizisi
Harmonica,Mızıka
Accordion,Akordeon
Bagpipes,Gayda
Didgeridoo,Didgeridoo
Shofar,Şofar
Theremin,Theremin
Singing bowl,Tibet kâsesi
Scratching (performance technique),Scratch (DJ tekniği)
Pop music,Pop müzik
Hip hop music,Hip hop müzik
Beatboxing,Beatbox
Rock music,Rock müzik
Heavy metal,Heavy metal
Punk rock,Punk rock
Grunge,Grunge
Progressive rock,Progresif rock
Rock and roll,Rock and roll
